make,model,price_value,price_currency,year,engine,mileage_km,city,url
BMW,530e,183000.0,AZN,2025,2.0 L,0,Bakı,https://turbo.az/autos/10015069-bmw-530e
BMW,X7,277000.0,AZN,2026,3.0 L,0,Bakı,https://turbo.az/autos/10618343-bmw-x7
LADA,(VAZ) 2106,4000.0,AZN,1994,1.3 L,150000,Mingəçevir,https://turbo.az/autos/10636229-lada-vaz-2106
BMW,X5,235000.0,AZN,2026,3.0 L,0,Bakı,https://turbo.az/autos/10618811-bmw-x5
Kia,Carens,22900.0,AZN,2015,1.7 L,218000,Bakı,https://turbo.az/autos/10565420-kia-carens
Audi,A3,12500.0,AZN,2012,1.4 L,136000,Bakı,https://turbo.az/autos/10581816-audi-a3
ZEEKR,007 GT,84150.0,AZN,2026,,0,Bakı,https://turbo.az/autos/9797727-zeekr-007-gt
KYC,V5D EV,52900.0,AZN,2025,,0,Bakı,https://turbo.az/autos/10107808-kyc-v5d-ev
BMW,X5,200600.0,AZN,2025,3.0 L,19500,Bakı,https://turbo.az/autos/10532156-bmw-x5
Changan,CS 55 Plus,30500.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10600982-changan-cs-55-plus
Mercedes,S 55 AMG,27600.0,AZN,2004,5.4 L,150000,Bakı,https://turbo.az/autos/10414707-mercedes-s-55-amg
Mercedes,Vito,23900.0,AZN,2011,2.1 L,275000,Bakı,https://turbo.az/autos/10557291-mercedes-vito
Honda,Accord,25700.0,AZN,2019,1.5 L,193000,Bakı,https://turbo.az/autos/10585000-honda-accord
Hyundai,Elantra,16500.0,AZN,2011,1.8 L,217950,Bakı,https://turbo.az/autos/10591690-hyundai-elantra
Hyundai,Sonata,35200.0,AZN,2022,2.0 L,103000,Bakı,https://turbo.az/autos/10595039-hyundai-sonata
Lincoln,Corsair,71400.0,AZN,2022,2.5 L,25000,Bakı,https://turbo.az/autos/10610070-lincoln-corsair
BYD,Leopard 5,66000.0,AZN,2024,1.5 L,23000,Bakı,https://turbo.az/autos/10615485-byd-leopard-5
Mercedes,E 220 d,54000.0,AZN,2017,2.0 L,250000,Bakı,https://turbo.az/autos/10632848-mercedes-e-220-d
Audi,A3,12500.0,AZN,2012,1.4 L,136000,Bakı,https://turbo.az/autos/10581816-audi-a3
